Date,RET_AAPL,RET_MSFT,RET_AMZN,RET_GOOGL,RET_META,RET_NVDA,RET_JPM,RET_V,RET_JNJ,RET_PG,RET_HD,RET_MA,RET_XOM,RET_BAC,RET_PFE,RET_KO,RET_PEP,RET_CVX,RET_MRK,RET_COST,RET_WMT,RET_DIS,Mkt-RF,RF,SMB,HML
2020-02-19,1.448304,0.299891,0.674965,0.357375,-0.142319,6.113243,1.363897,0.999065,-0.134100,0.456470,-0.122987,0.972909,0.768239,1.313118,-0.247764,0.403150,-0.048067,0.453542,-0.557816,0.301151,-1.630059,1.552395,0.600000,0.010000,0.180000,0.030000
2020-02-20,-1.025927,-1.527118,-0.788863,-0.516775,-1.337994,-1.906584,0.000000,-0.871969,-0.382752,0.908814,1.387296,-0.031920,-0.795515,0.374410,-1.048875,-0.083637,-0.254234,-0.839785,0.597566,0.328189,0.008504,-0.658172,-0.350000,0.010000,0.490000,0.670000
2020-02-21,-2.263470,-3.161284,-2.653382,-2.210299,-2.050523,-4.739229,-1.221911,-1.248520,1.051478,0.094802,-0.680105,-1.379002,-1.219495,-1.406013,-0.362623,0.686536,0.475317,-0.728521,-0.181888,-0.657237,0.756236,-0.997359,-1.120000,0.010000,-0.120000,0.020000
2020-02-24,-4.750062,-4.311564,-4.135555,-4.287271,-4.500902,-7.069747,-2.687560,-4.798632,-2.060662,-2.683499,-2.298843,-4.424497,-4.684619,-4.743894,-2.939522,-2.461355,-2.200885,-3.944590,-1.226602,-2.587379,-1.905909,-4.288707,-3.390000,0.010000,0.160000,0.010000
2020-02-25,-3.387227,-1.650131,-1.819050,-2.362227,-1.967904,-4.109322,-4.464307,-5.226614,-0.863602,-1.516630,-0.967892,-6.708332,-3.832483,-5.041244,-2.134424,-1.415190,-1.079638,-3.820086,-1.303339,-2.789971,-1.659205,-3.623784,-3.090000,0.010000,-0.110000,-0.680000
2020-02-26,1.586380,1.249446,0.347232,0.299370,0.218513,2.136983,0.300963,-0.631646,-0.670559,-1.045888,-0.884641,-1.601239,-2.195564,-1.447880,2.328337,-0.380457,0.623638,-2.651182,-0.411101,0.268955,-0.533276,-3.767844,-0.520000,0.010000,-0.380000,-1.200000
2020-02-27,-6.536834,-7.045902,-4.813627,-5.431270,-3.777886,-5.566557,-4.161400,-3.845954,-3.173737,-5.542597,-4.484036,-4.100124,-6.017753,-4.897146,-1.785731,-4.635422,-3.951244,-3.988178,-2.326713,-4.108768,-2.970613,-4.312583,-4.220000,0.010000,0.780000,0.060000
2020-02-28,-0.058471,2.421300,-0.029185,1.848002,1.433482,6.916080,-4.333862,0.972162,-3.335237,-0.237884,-3.065893,1.549886,3.251697,-2.162743,-1.994108,-2.621519,-3.182509,-0.839262,-1.946733,-4.090312,-2.463775,-0.330383,-0.780000,0.010000,0.300000,-0.800000
2020-03-02,9.310061,6.653909,3.726611,3.514627,2.062626,2.354924,4.659405,5.815355,4.119555,5.590382,5.554536,5.681325,4.743399,3.052655,4.368624,4.542894,4.203604,3.481897,6.282656,9.959456,7.615139,1.980448,4.310000,0.010000,-1.690000,-0.420000
2020-03-03,-3.175920,-4.791931,-2.300981,-3.505661,-5.370580,-3.812891,-3.752485,-3.431585,-3.163821,-1.162585,-0.869780,-4.805333,-4.788406,-5.515844,-1.662833,0.250369,-1.453691,-2.277644,-2.752870,-2.073483,-2.562983,-2.942170,-2.800000,0.010000,0.800000,-0.630000
2020-03-04,4.638477,3.671523,3.501323,3.280212,3.157782,7.002877,2.470940,4.608849,5.819012,5.356688,5.764662,3.547908,2.183224,2.306294,6.122440,5.101651,5.022847,4.386061,4.852752,5.949164,3.418639,2.344368,4.030000,0.010000,-1.090000,-1.170000
2020-03-05,-3.243725,-2.509535,-2.621679,-4.837881,-3.436584,-3.943611,-4.906146,-3.772724,-1.024540,-2.305243,-2.600785,-3.846406,-4.406724,-5.069101,-2.582430,-3.699898,-2.357970,-1.360010,-1.675288,-1.552632,-0.727933,-4.363154,-3.380000,0.010000,0.240000,-1.400000
2020-03-06,-1.328031,-2.826723,-1.192292,-1.446644,-2.203406,-2.652844,-5.168023,-1.390662,0.014106,0.024678,-2.683052,-1.279554,-4.829359,-3.995545,-1.240813,-2.608420,-0.608249,-1.924043,0.760000,-1.399802,1.130091,1.131773,-1.780000,0.010000,0.050000,-1.480000
2020-03-09,-7.909202,-6.777265,-5.285383,-6.170216,-6.400100,-7.743223,-13.545524,-7.176181,-3.935809,-4.602985,-7.898974,-8.710494,-12.224769,-14.702437,-3.597945,-6.152708,-5.172675,-15.369312,-3.941607,-3.006370,-0.059706,-9.473408,-7.790000,0.010000,-0.420000,-4.750000
2020-03-10,7.202171,6.838426,5.065507,4.884063,5.126839,6.372246,7.769699,6.702534,3.811204,3.868674,7.241257,7.083758,3.702779,7.660732,2.458510,3.470849,3.057765,5.342766,3.875381,2.457133,2.244792,6.813611,4.740000,0.010000,-2.480000,0.780000
2020-03-11,-3.473021,-4.530211,-3.750890,-5.040116,-4.461543,-5.595970,-4.707044,-5.284792,-6.947181,-7.432586,-5.044581,-3.852908,-3.294144,-3.981343,-6.996222,-2.702194,-3.272700,-2.294662,-3.377229,-3.868783,-4.474499,-5.338243,-5.060000,0.010000,-0.830000,-0.810000
2020-03-12,-9.875497,-9.483831,-7.922083,-8.204642,-9.263398,-12.236789,-8.243006,-7.441440,-4.848237,-8.737327,-10.474917,-10.475978,-11.434028,-9.528017,-6.683243,-9.672466,-11.105969,-8.153678,-6.056787,-5.910667,-9.071049,-12.984559,-9.630000,0.010000,-0.450000,-1.140000
